"das3","nb_sejours"
"I10",172924
"E11",81736
"E87",68130
"I48",64426
"E78",55100
"E66",50900
"I25",43640
"U07",40890
"B96",40058
"N18",39440
"F17",38763
"I50",33627
"R53",29590
"J96",28933
"G47",25842
"E43",25497
"R41",24479
"J44",23694
"F10",22884
"F41",22477
"E03",22129
"C78",22123
"D50",21798
"T81",21605
"E55",21430
"O70",21155
"B95",20897
"E86",20316
"R26",19075
"N39",18486
"R33",18424
"E44",18382
"L89",18363
"K59",17369
"D64",16777
"P03",16187
"N17",16100
"R11",15983
"C79",15737
"R63",15708
"R39",15177
"R06",15029
"R60",14881
"I70",14692
"O99",14214
"R65",13898
"R50",13772
"R52",13581
"O92",12862
"F32",12730
"R40",12028
"I95",11777
"J90",11757
"C77",11564
"U08",11539
"G81",11253
"R29",11127
"R10",10961
"F06",10852
"R47",10796
"J18",10654
"K56",9928
"I44",9725
"I35",9659
"R45",9482
"O80",9350
"C34",8818
"J12",8584
"J45",8552
"P00",8552
"P01",8470
"F03",8428
"I42",8354
"A41",7960
"D62",7632
"D63",7613
"G20",7494
"G40",7490
"B37",7443
"R57",7315
"R31",7311
"O68",7232
"E53",7211
"S06",7123
"R00",7081
"J91",7052
"O82",6977
"I69",6875
"G30",6773
"I49",6767
"I34",6752
"L97",6723
"I27",6711
"P20",6673
"R18",6578
"R51",6577
"E83",6521
"K70",6488
"O24",6456
"M54",6427
